ID,Movers,Direction,LarvaMove,CreeperMove,AdultMove,BreederMove,Queenmove,CardName,RealCardText,AppCardText,RemoveAndReshuffleDeck,ReshuffleBack,AlienBagSpecialCase,SpecialCaseID
1,"[2, 3]",1,FALSE,TRUE,TRUE,FALSE,FALSE,Damaging Fire,Place a Malfunction marker in each Room with a Fire marker. Place a Fire marker in each Room neighboring a Room with a Fire marker. Fire does not spread through Closed Doors or Technical Corridors.,Place a Malfunction marker in each Room with a Fire marker. Place a Fire marker in each Room neighboring a Room with a Fire marker. Fire does not spread through Closed Doors or Technical Corridors.,FALSE,FALSE,FALSE,0
2,"[4,5]",1,FALSE,FALSE,FALSE,TRUE,TRUE,Regeneration,Each Intruder on the board Heals 2 Injuries.,Each Intruder on the board Heals 2 Injuries.,FALSE,FALSE,FALSE,0
3,"[2,3]",3,FALSE,TRUE,TRUE,FALSE,FALSE,Scent of Prey,Place a Noise marker in every Corridor connected to a Room containing a Character with a Slime marker (except Corridors that already have a Noise markers).,Place a Noise marker in every Corridor connected to a Room containing a Character with a Slime marker (except Corridors that already have a Noise markers).,FALSE,FALSE,FALSE,0
4,"[4,5]",4,FALSE,FALSE,FALSE,TRUE,TRUE,Flammable Compounds,"Place a Fire marker in the Hibernatorium. If the Hibernatorium is already on fire, place a Fire marker in each neighboring Room. Fire does not spread through Closed Doors of Technical Corridors.","Place a Fire marker in the Hibernatorium. If the Hibernatorium is already on fire, place a Fire marker in each neighboring Room. Fire does not spread through Closed Doors of Technical Corridors.",FALSE,FALSE,FALSE,0
5,"[3,4]",1,FALSE,FALSE,TRUE,TRUE,FALSE,Bulkhead Open,Open all Doors (except Destroyed Doors.),Open all Doors (except Destroyed Doors.),FALSE,FALSE,FALSE,0
6,"[2,4,5]",2,FALSE,TRUE,FALSE,TRUE,TRUE,Hunt,"Move every adult not in Combat to a neighboring Room with a Character, if possible. If there are several Rooms to choose from, movew the Adult to the Room with the lowest Room Number.","Move every adult not in Combat to a neighboring Room with a Character, if possible. If there are several Rooms to choose from, movew the Adult to the Room with the lowest Room Number.",FALSE,FALSE,FALSE,0
7,"[2,4,5]",1,FALSE,TRUE,FALSE,TRUE,TRUE,Eclosion,"Each character with a Larva on their Character board dies (place a Creeper in their Room). Every Character draws 4 cards from their deck and Scans all drawn Contamination cards. If they have at least 1 INFECTED card, put a Larva on their Character board. Discard drawn cards.","Each character with a Larva on their Character board dies (place a Creeper in their Room). Every Character draws 4 cards from their deck and Scans all drawn Contamination cards. If they have at least 1 INFECTED card, put a Larva on their Character board. Discard drawn cards.",FALSE,FALSE,FALSE,0
8,"[3,4,5]",1,FALSE,FALSE,TRUE,TRUE,TRUE,Coolant Leak,"If there is a Malfunction marker in the Generator Room, start the Self-Destruct countdown. Remove this event from the game and reshuffle the Events deck (including the Discard pile).","If there is a Malfunction marker in the Generator Room, start the Self-Destruct countdown.",TRUE,FALSE,FALSE,0
9,"[2,4,5]",3,FALSE,TRUE,FALSE,TRUE,TRUE,Nest,"If the Nest Room is explored, place a Noise marker in each Corridor that in connected to the Nest. Do not place a Noise marker if one is already present.","If the Nest Room is explored, place a Noise marker in each Corridor that in connected to the Nest. Do not place a Noise marker if one is already present.",FALSE,FALSE,FALSE,0
10,"[4,5]",3,FALSE,FALSE,FALSE,TRUE,TRUE,Hunt,"Move every Adult not in Combat to a neighboring Room with a Character, if possible. If there are several Rooms to choose from, movew the Adult to the Room with the lowest Room Number.","Move every Adult not in Combat to a neighboring Room with a Character, if possible. If there are several Rooms to choose from, movew the Adult to the Room with the lowest Room Number.",FALSE,FALSE,FALSE,0
